date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:29:01	327/327	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2006%20Feb%202019%2005:59:04%20GMT	https://www.techniti.in/robots.txt		(from )
11:29:01	58340/58340	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Feb%202019%2005:59:04%20GMT	https://www.techniti.in/	C:/Users/RAJ/Music/sandhaan%20website/website2/www.techniti.in/index.html	(from )
11:29:01	2852/2852	---M--	200	added ('OK')	text/css	etag:%224a03069-b24-576d52e647380%22	https://www.techniti.in/screen.css	C:/Users/RAJ/Music/sandhaan%20website/website2/www.techniti.in/screen.css	(from https://www.techniti.in/)
11:29:02	736/736	---M-Z	200	added ('OK')	text/css	etag:%222e0-505dbf242e400-gzip%22	https://www.jqueryscript.net/css/jquerysctipttop.css	C:/Users/RAJ/Music/sandhaan%20website/website2/www.jqueryscript.net/css/jquerysctipttop.css	(from https://www.techniti.in/)
11:29:03	84345/84345	---M-Z	200	added ('OK')	application/javascript	etag:W/%22553fb284-14979%22	https://code.jquery.com/jquery-2.1.4.min.js	C:/Users/RAJ/Music/sandhaan%20website/website2/code.jquery.com/jquery-2.1.4.min.js	(from https://www.techniti.in/)
11:29:03	3865/3865	---M--	200	added ('OK')	application/javascript	etag:%224a03045-f19-5171593254a80%22	https://www.techniti.in/maingallery.js	C:/Users/RAJ/Music/sandhaan%20website/website2/www.techniti.in/maingallery.js	(from https://www.techniti.in/)
11:29:03	367/367	---M--	200	added ('OK')	application/javascript	etag:%224a030b2-16f-57769d6f98899%22	https://www.techniti.in/photo/data.js	C:/Users/RAJ/Music/sandhaan%20website/website2/www.techniti.in/photo/data.js	(from https://www.techniti.in/)
11:29:04	3529/3529	---M--	200	added ('OK')	image/png	etag:%224a02f58-dc9-5775df3d46480%22	https://techniti.in/favicon/apple-icon-57x57.png	C:/Users/RAJ/Music/sandhaan%20website/website2/techniti.in/favicon/apple-icon-57x57.png	(from https://www.techniti.in/)
11:29:04	3753/3753	---M--	200	added ('OK')	image/png	etag:%224a02f59-ea9-5775df3d46480%22	https://techniti.in/favicon/apple-icon-60x60.png	C:/Users/RAJ/Music/sandhaan%20website/website2/techniti.in/favicon/apple-icon-60x60.png	(from https://www.techniti.in/)
11:29:04	4610/4610	---M--	200	added ('OK')	image/png	etag:%224a02f5a-1202-5775df3d46480%22	https://techniti.in/favicon/apple-icon-72x72.png	C:/Users/RAJ/Music/sandhaan%20website/website2/techniti.in/favicon/apple-icon-72x72.png	(from https://www.techniti.in/)
11:29:04	4853/4853	---M--	200	added ('OK')	image/png	etag:%224a02f5b-12f5-5775df3d46480%22	https://techniti.in/favicon/apple-icon-76x76.png	C:/Users/RAJ/Music/sandhaan%20website/website2/techniti.in/favicon/apple-icon-76x76.png	(from https://www.techniti.in/)
11:29:05	8337/8337	---M--	200	added ('OK')	image/png	etag:%224a02f53-2091-5775df3d46480%22	https://techniti.in/favicon/apple-icon-114x114.png	C:/Users/RAJ/Music/sandhaan%20website/website2/techniti.in/favicon/apple-icon-114x114.png	(from https://www.techniti.in/)
11:29:05	8898/8898	---M--	200	added ('OK')	image/png	etag:%224a02f54-22c2-5775df3d46480%22	https://techniti.in/favicon/apple-icon-120x120.png	C:/Users/RAJ/Music/sandhaan%20website/website2/techniti.in/favicon/apple-icon-120x120.png	(from https://www.techniti.in/)
11:29:05	11708/11708	---M--	200	added ('OK')	image/png	etag:%224a02f55-2dbc-5775df3d46480%22	https://techniti.in/favicon/apple-icon-144x144.png	C:/Users/RAJ/Music/sandhaan%20website/website2/techniti.in/favicon/apple-icon-144x144.png	(from https://www.techniti.in/)
11:29:05	12871/12871	---M--	200	added ('OK')	image/png	etag:%224a02f56-3247-5775df3d46480%22	https://techniti.in/favicon/apple-icon-152x152.png	C:/Users/RAJ/Music/sandhaan%20website/website2/techniti.in/favicon/apple-icon-152x152.png	(from https://www.techniti.in/)
11:29:06	16996/16996	---M--	200	added ('OK')	image/png	etag:%224a02f57-4264-5775df3d46480%22	https://techniti.in/favicon/apple-icon-180x180.png	C:/Users/RAJ/Music/sandhaan%20website/website2/techniti.in/favicon/apple-icon-180x180.png	(from https://www.techniti.in/)
11:29:06	18169/18169	---M--	200	added ('OK')	image/png	etag:%224a02f4e-46f9-5775df3d46480%22	https://techniti.in/favicon/android-icon-192x192.png	C:/Users/RAJ/Music/sandhaan%20website/website2/techniti.in/favicon/android-icon-192x192.png	(from https://www.techniti.in/)
11:29:06	1911/1911	---M--	200	added ('OK')	image/png	etag:%224a02f60-777-5775df3d46480%22	https://techniti.in/favicon/favicon-32x32.png	C:/Users/RAJ/Music/sandhaan%20website/website2/techniti.in/favicon/favicon-32x32.png	(from https://www.techniti.in/)
11:29:06	6645/6645	---M--	200	added ('OK')	image/png	etag:%224a02f61-19f5-5775df3d46480%22	https://techniti.in/favicon/favicon-96x96.png	C:/Users/RAJ/Music/sandhaan%20website/website2/techniti.in/favicon/favicon-96x96.png	(from https://www.techniti.in/)
11:29:07	1135/1135	---M--	200	added ('OK')	image/png	etag:%224a02f5f-46f-5775df3d46480%22	https://techniti.in/favicon/favicon-16x16.png	C:/Users/RAJ/Music/sandhaan%20website/website2/techniti.in/favicon/favicon-16x16.png	(from https://www.techniti.in/)
11:29:07	1970/1970	---M--	200	added ('OK')	text/css	etag:%224a0306a-7b2-5768f01e8fb00%22	https://www.techniti.in/style.css	C:/Users/RAJ/Music/sandhaan%20website/website2/www.techniti.in/style.css	(from https://www.techniti.in/)
11:29:07	3222/3222	---M--	200	added ('OK')	application/javascript	etag:%224a03044-c96-5768f01ca7680%22	https://www.techniti.in/main.js	C:/Users/RAJ/Music/sandhaan%20website/website2/www.techniti.in/main.js	(from https://www.techniti.in/)
11:29:08	2554/2554	---M--	200	added ('OK')	text/css	etag:%224a02f18-9fa-56f4aba92d000%22	https://www.techniti.in/bitrix/cache/css/s1/neurohive/page/page_df1f54e5eec36cbf0e3d0865c26bc2bf2ca2.css?15296966332554	C:/Users/RAJ/Music/sandhaan%20website/website2/www.techniti.in/bitrix/cache/css/s1/neurohive/page/page_df1f54e5eec36cbf0e3d0865c26bc2bf2ca22ca2.css	(from https://www.techniti.in/)
11:29:08	140936/140936	---MCZ	200	added ('OK')	text/css	etag:W/%225b5750b8-22688%22	https://cdnjs.cloudflare.com/ajax/libs/twitter-bootstrap/4.1.3/css/bootstrap.min.css	C:/Users/RAJ/Music/sandhaan%20website/website2/cdnjs.cloudflare.com/ajax/libs/twitter-bootstrap/4.1.3/css/bootstrap.min.css	(from https://www.techniti.in/)
11:29:09	14112/14112	---M--	200	added ('OK')	image/png	etag:%224a02ff9-3720-5760d25a86a80%22	https://techniti.in/local/templates/neurohive/assets/img/techniti-logo.png	C:/Users/RAJ/Music/sandhaan%20website/website2/techniti.in/local/templates/neurohive/assets/img/techniti-logo.png	(from https://www.techniti.in/)
11:29:09	150948/150948	---M--	200	added ('OK')	text/css	etag:%224a02f1a-24da4-56f4abc999c80%22	https://www.techniti.in/bitrix/cache/css/s1/neurohive/template/template_6f5efa8a81bc2b376995e8406bd5943b838b.css?1529696666150584	C:/Users/RAJ/Music/sandhaan%20website/website2/www.techniti.in/bitrix/cache/css/s1/neurohive/template/template_6f5efa8a81bc2b376995e8406bd5943b838b838b.css	(from https://www.techniti.in/)
11:29:10	18391/18391	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Feb%202019%2005:59:12%20GMT	https://www.techniti.in/login/login.php	C:/Users/RAJ/Music/sandhaan%20website/website2/www.techniti.in/login/login.html	(from https://www.techniti.in/)
11:29:10	238221/238221	---M--	200	added ('OK')	image/png	etag:%224a02ffa-3a28d-57760f534d780%22	https://techniti.in/local/templates/neurohive/assets/img/techniti-logo1.png	C:/Users/RAJ/Music/sandhaan%20website/website2/techniti.in/local/templates/neurohive/assets/img/techniti-logo1.png	(from https://www.techniti.in/)
11:29:16	410074/410074	---M--	200	added ('OK')	application/pdf	etag:%224a00d0c-641da-57993ed3f4fe5%22	https://www.techniti.in/schdeule.pdf	C:/Users/RAJ/Music/sandhaan%20website/website2/www.techniti.in/schdeule.pdf	(from https://www.techniti.in/)
11:29:17	509204/509204	---M--	200	added ('OK')	image/jpeg	etag:%224a03113-7c514-5792340d014de%22	https://www.techniti.in/local/templates/neurohive/assets/img/events/hardy%20sandhu%20solo.jpg	C:/Users/RAJ/Music/sandhaan%20website/website2/www.techniti.in/local/templates/neurohive/assets/img/events/hardy%20sandhu%20solo.jpg	(from https://www.techniti.in/)
11:29:18	446584/446584	---M--	200	added ('OK')	image/jpeg	etag:%224a03139-6d078-579234155a483%22	https://www.techniti.in/local/templates/neurohive/assets/img/events/sartek.jpg	C:/Users/RAJ/Music/sandhaan%20website/website2/www.techniti.in/local/templates/neurohive/assets/img/events/sartek.jpg	(from https://www.techniti.in/)
11:29:19	48521/48521	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Feb%202019%2005:59:22%20GMT	https://www.techniti.in/societies/society_events/some.php	C:/Users/RAJ/Music/sandhaan%20website/website2/www.techniti.in/societies/society_events/some.html	(from https://www.techniti.in/)
11:29:20	145251/145251	---M--	200	added ('OK')	image/jpeg	etag:%224a030c7-23763-578198fd7cdc7%22	https://www.techniti.in/local/templates/neurohive/assets/img/events/robowar.jpg	C:/Users/RAJ/Music/sandhaan%20website/website2/www.techniti.in/local/templates/neurohive/assets/img/events/robowar.jpg	(from https://www.techniti.in/)
11:29:21	146583/146583	---M--	200	added ('OK')	image/jpeg	etag:%224a02fa5-23c97-5775f23932e80%22	https://www.techniti.in/local/templates/neurohive/assets/img/events/hacktharon.jpeg	C:/Users/RAJ/Music/sandhaan%20website/website2/www.techniti.in/local/templates/neurohive/assets/img/events/hacktharon.jpg	(from https://www.techniti.in/)
11:29:21	34465/34465	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Feb%202019%2005:59:24%20GMT	https://www.techniti.in/societies/society_events/textile.php	C:/Users/RAJ/Music/sandhaan%20website/website2/www.techniti.in/societies/society_events/textile.html	(from https://www.techniti.in/)
11:29:22	104220/104220	---M--	200	added ('OK')	image/jpeg	etag:%224a03103-1971c-578198f6b05ec%22	https://www.techniti.in/local/templates/neurohive/assets/img/events/fashionshow.jpg	C:/Users/RAJ/Music/sandhaan%20website/website2/www.techniti.in/local/templates/neurohive/assets/img/events/fashionshow.jpg	(from https://www.techniti.in/)
11:29:25	176880/176880	---M--	200	added ('OK')	image/jpeg	etag:%224a0310f-2b2f0-57832cae75d55%22	https://www.techniti.in/local/templates/neurohive/assets/img/events/soccer.jpg	C:/Users/RAJ/Music/sandhaan%20website/website2/www.techniti.in/local/templates/neurohive/assets/img/events/soccer.jpg	(from https://www.techniti.in/)
11:29:26	36480/36480	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Feb%202019%2005:59:28%20GMT	https://www.techniti.in/societies/society_events/soccer.php	C:/Users/RAJ/Music/sandhaan%20website/website2/www.techniti.in/societies/society_events/soccer.html	(from https://www.techniti.in/)
11:29:29	73617/73617	---M--	200	added ('OK')	image/jpeg	etag:%224a03133-11f91-578ac222bf037%22	https://www.techniti.in/tshirt/img/tshirt2.jpeg	C:/Users/RAJ/Music/sandhaan%20website/website2/www.techniti.in/tshirt/img/tshirt2.jpg	(from https://www.techniti.in/)
11:29:29	330/330	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2006%20Feb%202019%2005:59:32%20GMT	https://www.techniti.in/photo/{{img}}	C:/Users/RAJ/Music/sandhaan%20website/website2/www.techniti.in/photo/{{img}}	(from https://www.techniti.in/)
11:29:29	14774/14774	---M-Z	200	added ('OK')	text/html	date:Wed,%2006%20Feb%202019%2005:59:32%20GMT	https://www.techniti.in/societies/society_events/workshops.php	C:/Users/RAJ/Music/sandhaan%20website/website2/www.techniti.in/societies/society_events/workshops.html	(from https://www.techniti.in/)
11:29:32	485067/485067	---M--	200	added ('OK')	image/jpeg	etag:%224a030db-766cb-5779631ea3263%22	https://www.techniti.in/local/templates/neurohive/assets/img/events/mun.JPG	C:/Users/RAJ/Music/sandhaan%20website/website2/www.techniti.in/local/templates/neurohive/assets/img/events/mun.jpg	(from https://www.techniti.in/)
11:29:35	408441/408441	---M--	200	added ('OK')	image/jpeg	etag:%224a02fb6-63b79-57760a9081c00%22	https://www.techniti.in/local/templates/neurohive/assets/img/iot.jpg	C:/Users/RAJ/Music/sandhaan%20website/website2/www.techniti.in/local/templates/neurohive/assets/img/iot.jpg	(from https://www.techniti.in/)
11:29:39	383990/383990	---M--	200	added ('OK')	image/jpeg	etag:%224a02f91-5dbf6-57760a8cb1300%22	https://www.techniti.in/local/templates/neurohive/assets/img/cloud.jpg	C:/Users/RAJ/Music/sandhaan%20website/website2/www.techniti.in/local/templates/neurohive/assets/img/cloud.jpg	(from https://www.techniti.in/)
11:29:40	1576968/1576968	---M--	200	added ('OK')	image/jpeg	etag:%224a00d03-181008-57993e7dbe105%22	https://www.techniti.in/local/templates/neurohive/assets/img/events/guest_ajit.jpg	C:/Users/RAJ/Music/sandhaan%20website/website2/www.techniti.in/local/templates/neurohive/assets/img/events/guest_ajit.jpg	(from https://www.techniti.in/)
11:29:40	86927/86927	---MC-	200	added ('OK')	text/javascript	date:Thu,%2025%20Jan%202018%2015:33:24%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js	C:/Users/RAJ/Music/sandhaan%20website/website2/ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js	(from https://www.techniti.in/)
